Age,Number_of_Banks,Number_of_Loans,Due_Loans,Hard_Checks,Credit_Limit,Credit_Usage,Monthly_Income,Total_Limit,Debt_to_Income_Ratio,Score_Category
23,3,2,2,1,372441,207244,40353,398500,5.14,2
42,4,7,2,10,357167,213016,78979,372638,2.7,2
21,1,5,0,6,382221,257309,81488,398964,3.16,1
47,5,2,0,2,246358,122991,143310,261074,0.86,2
57,4,2,1,5,412659,243116,120167,447533,2.02,2
45,3,9,6,5,378623,238998,136777,393034,1.75,1
51,2,5,1,7,257281,109238,104455,270281,1.05,2
22,2,6,0,1,193599,55126,145684,230112,0.38,0
60,1,6,4,7,355558,192849,127299,374113,1.51,2
47,1,3,1,3,150496,78188,105502,193721,0.74,2
24,3,9,8,5,452145,92092,59600,468161,1.55,0
26,5,6,6,2,56762,16017,116424,76044,0.14,0
44,2,10,3,3,389413,130480,102297,424387,1.28,2
25,2,3,0,10,92772,33701,37322,111802,0.9,2
22,2,4,0,9,129892,44569,112245,175518,0.4,2
32,1,1,1,10,467717,126637,66771,498813,1.9,0
23,2,3,0,2,360709,190926,139104,384306,1.37,2
47,4,6,0,4,230837,94831,63231,264711,1.5,2
46,5,6,0,0,347874,170445,61531,358961,2.77,2
49,4,2,2,0,176845,74890,57770,201451,1.3,2
60,1,4,2,2,389214,220920,117706,405341,1.88,2
40,2,8,5,2,258792,202177,68097,293421,2.97,1
43,2,5,5,10,389757,94649,137994,423053,0.69,0
40,3,3,0,5,363060,120322,108766,397803,1.11,2
21,5,6,3,9,229721,136329,104352,258769,1.31,2
53,3,1,1,3,162629,116025,32787,191309,3.54,1
41,2,3,2,2,470701,332583,136663,504542,2.43,1
42,2,9,4,0,378095,134075,140503,412599,0.95,2
52,3,9,9,3,130131,55221,144036,179737,0.38,2
34,2,2,0,7,373516,184504,136974,418745,1.35,2
26,3,10,1,4,451224,341132,42160,466295,8.09,1
35,3,1,0,4,77472,21387,60827,111176,0.35,0
57,1,3,1,4,298833,236983,138494,331942,1.71,1
41,1,3,2,8,84795,34860,40579,113853,0.86,2
47,5,7,4,0,414882,199898,117073,435538,1.71,2
32,1,4,0,7,76507,57443,141634,114074,0.41,1
33,1,4,2,0,285789,102224,71967,333026,1.42,2
35,5,6,2,7,429352,251178,77622,462510,3.24,2
53,4,9,0,8,232079,101240,85540,281160,1.18,2
55,4,6,2,3,350790,126791,70840,371646,1.79,2
56,4,7,7,3,447134,180551,55936,475555,3.23,2
52,1,8,8,10,482736,250884,30131,524737,8.33,2
48,3,2,2,10,140470,31393,104603,177765,0.3,0
33,3,9,5,4,124216,95145,43701,156527,2.18,1
48,3,4,4,1,230969,105772,45366,250345,2.33,2
23,1,7,7,3,332989,110007,61340,356674,1.79,2
24,1,3,1,0,267936,135978,41274,316085,3.29,2
33,4,8,5,2,244014,94429,138504,268732,0.68,2
55,3,7,3,1,490956,334568,146391,522661,2.29,1
51,2,1,0,0,485322,116932,98167,517818,1.19,0
20,2,4,3,4,490459,203880,79185,521010,2.57,2
24,5,4,4,5,348439,253505,52815,379486,4.8,1
50,2,3,2,8,286149,127971,126196,313730,1.01,2
38,4,4,2,7,91951,70858,95647,125026,0.74,1
33,3,2,0,3,141128,74967,45512,174753,1.65,2
34,3,7,7,10,358590,220268,91405,403659,2.41,1
22,4,2,1,10,337701,267571,111087,351413,2.41,1
42,3,7,5,5,186608,102885,65076,213942,1.58,2
52,1,5,0,4,240618,88628,68327,259119,1.3,2
59,5,5,1,1,242896,73373,147051,270017,0.5,2
29,2,7,4,4,81959,43769,39830,101946,1.1,2
33,5,8,4,0,98390,57122,54621,112941,1.05,2
26,4,7,1,7,396478,250648,33463,434063,7.49,1
59,5,9,2,7,442867,242416,113480,482147,2.14,2
22,2,5,0,10,127667,97694,71793,173149,1.36,1
45,3,6,2,0,483588,177897,103668,526048,1.72,2
54,1,5,1,5,161011,72067,81222,177608,0.89,2
60,5,9,9,3,456924,290123,100178,482996,2.9,1
47,5,2,0,6,126193,29256,89468,159662,0.33,0
49,5,3,3,0,328063,210527,112430,376944,1.87,1
20,2,6,2,2,103848,44668,133613,138385,0.33,2
59,4,7,1,0,319138,129266,85116,356024,1.52,2
52,4,9,5,3,267219,117945,35367,291461,3.33,2
22,4,3,3,1,183320,103853,42224,195000,2.46,2
37,5,2,2,2,241780,95646,73086,256005,1.31,2
32,5,6,4,8,192882,134686,48116,218997,2.8,1
26,2,8,4,4,293415,67500,86243,311860,0.78,0
49,3,6,0,8,289466,59277,124728,337377,0.48,0
55,1,7,7,3,360158,174350,119318,374709,1.46,2
28,4,9,3,7,257260,152130,39103,298054,3.89,2
60,1,4,3,0,374820,273821,100614,419801,2.72,1
35,2,9,2,7,133478,41043,116463,180656,0.35,2
52,1,6,2,2,162298,65737,91628,199267,0.72,2
57,4,7,2,2,497853,106471,68466,547429,1.56,0
22,4,4,4,7,259801,167188,110117,302572,1.52,1
59,3,8,5,6,477544,331473,141812,494444,2.34,1
56,3,3,0,2,217604,103716,125448,228962,0.83,2
43,4,10,0,5,223148,152580,67757,238048,2.25,1
38,5,6,4,9,455032,274621,110004,504804,2.5,1
53,2,6,2,4,253117,112703,49623,275072,2.27,2
52,4,10,3,4,258598,201230,111015,304228,1.81,1
53,4,9,5,5,418498,197634,115899,447296,1.71,2
58,2,9,1,6,478633,300851,141123,521696,2.13,1
21,3,1,0,9,440684,219477,94776,478460,2.32,2
41,5,10,10,10,329596,232925,111744,352749,2.08,1
43,2,4,2,4,98184,53244,30609,138446,1.74,2
36,1,8,5,4,239248,99571,79015,253459,1.26,2
58,4,10,1,10,483315,323603,94903,506796,3.41,1
59,2,9,4,3,191247,92335,136940,222136,0.67,2
23,4,10,7,1,108121,75902,102634,135032,0.74,1
47,3,10,9,4,446520,300819,70543,469009,4.26,1
27,5,10,1,8,72004,36318,120517,103716,0.3,2
22,3,10,4,0,379934,183849,116754,424726,1.57,2
23,3,1,0,8,365774,156857,120981,396303,1.3,2
29,2,2,2,5,88027,37337,32122,117815,1.16,2
23,1,8,2,3,477407,205460,89582,489915,2.29,2
47,4,3,3,2,434720,223032,97048,471936,2.3,2
39,3,7,7,1,224710,63367,135066,239111,0.47,0
57,3,3,0,1,291294,203445,42588,310377,4.78,1
52,5,10,2,1,69784,33233,32337,117516,1.03,2
47,1,10,9,3,497970,259582,131632,542404,1.97,2
27,5,4,1,3,139355,90853,101557,156621,0.89,1
44,3,8,1,10,279629,179297,44559,304019,4.02,1
44,3,4,0,5,101948,71721,31424,137925,2.28,1
51,2,9,9,5,102619,74349,81196,141893,0.92,1
50,2,5,4,9,271846,211664,58919,303096,3.59,1
21,4,2,0,2,393828,191507,106064,437395,1.81,2
30,4,9,5,7,322049,154120,121457,353287,1.27,2
52,1,5,2,6,239081,138109,118396,282558,1.17,2
47,2,8,5,0,267525,62054,95967,288033,0.65,0
43,3,8,8,7,434068,313525,143287,448056,2.19,1
52,5,2,2,4,228240,175336,62780,249575,2.79,1
20,2,3,1,6,245160,149982,113138,284607,1.33,1
20,4,8,6,2,267065,132424,76101,300147,1.74,2
27,5,5,4,7,100090,51784,36834,135460,1.41,2
42,5,1,0,7,66638,24806,130746,99012,0.19,2
26,2,6,5,1,174778,71324,115054,214662,0.62,2
42,3,2,1,9,168572,115359,48892,214715,2.36,1
39,2,3,3,0,114135,60323,88171,149740,0.68,2
22,4,3,3,7,372619,75698,139141,410381,0.54,0
32,1,9,9,2,148916,118467,35730,179502,3.32,1
31,5,5,1,1,145083,87425,94361,156521,0.93,1
56,1,3,1,8,424113,331571,92020,457354,3.6,1
58,1,2,2,0,77322,30907,135431,125212,0.23,2
44,5,1,1,6,444730,160936,32729,466363,4.92,2
49,3,4,4,9,397395,280128,46671,441293,6.0,1
50,3,7,5,4,325456,177401,61525,373328,2.88,2
50,2,5,3,2,374138,211460,128296,419837,1.65,2
43,2,7,4,4,498254,259921,48161,522656,5.4,2
31,1,8,3,7,468216,175487,82334,482998,2.13,2
24,4,5,3,4,303876,203475,121717,350628,1.67,1
46,2,2,0,2,313917,104430,76818,356542,1.36,2
35,1,7,5,7,335484,224392,131500,356369,1.71,1
38,5,6,3,0,456804,266233,105228,494443,2.53,2
46,5,9,0,4,180158,67086,106499,228665,0.63,2
42,2,2,1,9,86599,64089,93768,101600,0.68,1
35,1,1,0,2,253687,169386,96036,287119,1.76,1
45,3,1,0,4,143620,78755,79528,178785,0.99,2
54,2,2,2,9,488697,240428,80538,528347,2.99,2
23,2,2,1,2,470173,225112,101089,502349,2.23,2
22,5,5,2,1,75706,20087,146365,112791,0.14,0
60,3,9,2,0,124857,88549,137027,165556,0.65,1
45,4,6,4,9,318202,243756,116954,360084,2.08,1
28,1,5,0,8,454160,237917,124707,486267,1.91,2
53,5,2,1,7,90055,24309,34050,116069,0.71,0
58,4,9,4,2,452652,214005,35387,500631,6.05,2
49,1,3,3,10,121351,24494,58686,133457,0.42,0
33,1,1,1,4,237193,143776,73710,286143,1.95,1
60,4,4,4,2,273590,214036,33838,298271,6.33,1
27,3,2,2,6,431091,290831,65377,452254,4.45,1
54,1,3,3,8,251405,135130,78094,297541,1.73,2
54,2,3,1,2,212004,129984,36269,222685,3.58,1
59,5,2,0,8,397265,309824,46310,430242,6.69,1
41,3,2,1,10,356276,154870,73743,369759,2.1,2
38,4,3,2,8,449988,336400,96527,478574,3.49,1
54,2,8,4,9,229778,86084,115972,249700,0.74,2
59,1,2,0,6,208090,137449,136169,227301,1.01,1
48,4,2,1,6,324602,246308,147655,349038,1.67,1
58,5,5,3,9,338442,140403,116410,351833,1.21,2
43,4,7,6,1,407947,317581,88652,426545,3.58,1
31,4,1,0,1,214576,120369,36540,241053,3.29,2
50,2,8,4,1,256991,190602,113113,285553,1.69,1
20,2,4,3,1,157782,82465,108105,175822,0.76,2
40,5,9,1,2,154267,77194,121286,194058,0.64,2
31,4,5,2,7,201404,115983,90384,219261,1.28,2
31,4,8,6,10,146177,90500,79496,164907,1.14,1
58,2,8,8,8,251876,193847,137288,277649,1.41,1
38,3,9,7,7,91108,39053,146581,103320,0.27,2
60,3,2,0,7,367994,292800,45937,390632,6.37,1
48,3,8,8,1,142154,83491,113040,181702,0.74,2
36,2,7,1,8,167864,98802,109233,187766,0.9,2
27,4,8,1,9,380010,232517,43334,408478,5.37,1
42,3,2,0,2,293277,128821,57795,313148,2.23,2
30,2,5,4,2,463949,313972,52312,494600,6.0,1
21,3,1,0,1,78452,24069,44034,97747,0.55,2
54,4,4,0,2,121630,45460,132172,152237,0.34,2
52,1,4,3,7,67095,43471,62401,90483,0.7,1
33,1,8,3,9,418977,135207,89612,449536,1.51,2
20,4,8,3,1,327398,166512,127973,372539,1.3,2
51,3,10,6,9,255806,141257,71587,288247,1.97,2
55,4,10,10,3,218572,123057,40101,229389,3.07,2
30,3,1,1,7,422081,321835,130976,449151,2.46,1
55,4,4,4,0,119924,31178,81368,155672,0.38,0
44,4,4,1,1,141831,46587,132926,184729,0.35,2
36,2,8,1,7,155208,87876,54831,191598,1.6,2
50,2,10,2,2,104292,45100,50060,116115,0.9,2
26,5,3,1,0,304311,154877,67745,314514,2.29,2
54,3,8,4,9,340728,100926,145783,355631,0.69,0
40,2,5,4,1,257517,173434,80540,286103,2.15,1
60,4,1,0,7,360485,165005,56145,396799,2.94,2
31,3,3,3,6,120510,46695,67802,137731,0.69,2
32,3,7,5,1,408659,222956,66105,433500,3.37,2
28,2,8,8,5,292467,196068,123242,307893,1.59,1
40,3,8,4,3,397223,313732,78147,425257,4.01,1
29,5,7,1,1,187935,62594,42054,220777,1.49,2
40,4,1,0,7,172573,62018,33869,193004,1.83,2
28,2,8,5,8,321173,215119,100189,341703,2.15,1
35,3,9,4,10,84993,52596,113544,132596,0.46,1
50,5,5,2,1,350667,212495,73426,387358,2.89,1
23,4,9,4,10,171334,57065,115879,197340,0.49,2
31,2,2,2,9,185957,134441,133105,211859,1.01,1
54,2,7,2,4,292550,102359,148248,333942,0.69,2
44,5,7,3,3,185839,50068,34230,217993,1.46,0
44,1,7,5,4,441809,92667,85531,462085,1.08,0
35,5,10,10,6,226368,49172,149559,251068,0.33,0
46,1,5,2,3,373842,175925,103912,412403,1.69,2
37,2,3,0,10,438323,322302,78380,469593,4.11,1
55,4,9,1,10,391451,96498,121442,408485,0.79,0
33,3,6,5,2,422452,249269,80122,434109,3.11,2
39,5,9,3,6,272140,106621,56281,304064,1.89,2
48,2,2,2,0,413415,264202,48590,424249,5.44,1
45,2,9,9,9,391855,182325,47878,416505,3.81,2
43,1,1,1,7,238700,156780,96314,278197,1.63,1
23,5,1,0,5,265409,115364,140992,280185,0.82,2
49,4,2,1,0,263644,152946,52383,307166,2.92,2
36,5,4,0,9,301893,91264,82184,344675,1.11,2
29,4,4,4,10,105705,79021,53153,154636,1.49,1
22,5,10,5,6,286533,137688,38856,299477,3.54,2
53,4,5,5,5,166167,66440,39669,207416,1.67,2
51,1,8,1,5,300951,143477,115890,321043,1.24,2
26,5,1,0,3,137194,60893,42280,179697,1.44,2
54,1,3,1,6,338618,212301,94871,372011,2.24,1
24,2,9,5,0,271628,135082,37592,297236,3.59,2
25,4,3,1,1,380075,243098,100016,429929,2.43,1
25,5,6,6,6,56470,21182,111345,70209,0.19,2
45,4,10,6,9,404674,166587,119853,424316,1.39,2
57,4,2,1,2,345676,119010,142328,364129,0.84,2
38,1,1,1,10,209822,62334,117298,250925,0.53,0
23,4,10,9,8,97229,32402,99142,109792,0.33,2
39,1,1,1,10,107337,65077,53628,124437,1.21,1
32,3,9,4,2,107266,61078,43238,150176,1.41,2
60,5,10,0,3,61121,34827,104487,106941,0.33,2
25,4,4,3,7,448193,228534,135627,460331,1.69,2
22,3,8,5,4,255043,144818,44111,294502,3.28,2
23,2,9,1,0,390077,159338,95987,406917,1.66,2
36,1,2,0,10,282485,193666,113744,330389,1.7,1
34,4,5,5,6,111171,31558,94566,156067,0.33,0
29,2,4,0,5,430610,307320,122155,442927,2.52,1
26,2,5,3,3,93944,34756,45045,118162,0.77,2
22,2,5,4,6,319025,247514,38226,340460,6.48,1
55,4,4,4,8,441272,321068,133396,451414,2.41,1
43,1,4,3,5,427621,114604,101628,437949,1.13,0
55,1,9,2,9,311726,102175,67095,360593,1.52,2
25,4,5,1,3,178411,81072,104759,219457,0.77,2
53,2,6,4,0,402741,82596,87847,430605,0.94,0
46,5,9,5,4,157090,94542,114877,185574,0.82,1
29,5,6,3,8,296849,194261,135837,316080,1.43,1
